NAME,population,total_hispanic,total_bs,median_income,pcnt_pop,pcnt_hispanic,pcnt_bs
"Alameda County, California",1651949,385245,341463,57510,4.209561069633565,23.320635201207786,20.67031125052892
"Alpine County, California",1695,249,264,37699,0.004319265312082208,14.690265486725664,15.575221238938052
"Amador County, California",41029,6361,5027,42120,0.10455170294361117,15.50366813717127,12.25230934217261
"Butte County, California",209470,40829,28185,34302,0.5337796489214514,19.49157397240655,13.455387406311168
"Calaveras County, California",45995,6403,5242,37084,0.11720625842431927,13.921078378084575,11.396890966409392
"Colusa County, California",21895,13639,1579,37141,0.05579369557996457,62.292760904316054,7.211692167161453
"Contra Costa County, California",1161458,316799,221951,55408,2.9596727143601047,27.27597554108715,19.109687995605523
"Del Norte County, California",27293,5350,2540,32811,0.06954909036145115,19.602095775473565,9.30641556443044
"El Dorado County, California",192299,27230,36513,49821,0.49002383495462926,14.160240042849937,18.987618240344464
"Fresno County, California",1012152,547669,98932,34409,2.5792053239850334,54.10936302057399,9.774421233174465
"Glenn County, California",28623,12632,2314,36105,0.07293824839394043,44.13234112427069,8.084407644202216
"Humboldt County, California",135418,18744,19521,32003,0.3450774454463413,13.841586790530064,14.415365756398707
"Imperial County, California",179319,153460,12731,24845,0.45694769114883155,85.5793306899994,7.099638075162142
"Inyo County, California",18803,4469,2759,42073,0.047914540214207525,23.767483912141678,14.673190448332713
"Kern County, California",910433,507456,68949,31218,2.3200009887167794,55.73787417635345,7.5732096705633465
"Kings County, California",152830,87860,8991,33376,0.38944738504160703,57.48871294902833,5.88300726297193
"Lake County, California",68139,16184,5743,32162,0.17363446554570477,23.751449243458225,8.428359676543536
"Lassen County, California",31177,7027,2309,34994,0.07944645111196873,22.539051223658465,7.406100651121019
"Los Angeles County, California",9848406,4753369,1574014,38505,25.09609346023734,48.26536395839083,15.98242395774504
"Madera County, California",158790,95835,11644,30688,0.4046348902097545,60.35329680710372,7.332955475785628
"Marin County, California",258765,49128,63089,66930,0.6593950964489396,18.98556605414179,24.3808088419995
"Mariposa County, California",17060,2341,2582,36903,0.04347295942426104,13.722157092614303,15.134818288393904
"Mendocino County, California",90709,24440,9871,35518,0.2311482225331357,26.94330220816016,10.88205139512066
"Merced County, California",285597,178961,17760,31693,0.7277694485750693,62.66207278087656,6.218552715889873
"Modoc County, California",8646,1321,1031,31793,0.02203207545030252,15.278741614619475,11.924589405505435
"Mono County, California",13169,3513,1814,47219,0.03355776099988826,26.676285215278305,13.774774090667478
"Monterey County, California",435834,265748,46167,37492,1.1106092495728832,60.97459124345508,10.59279450432963
"Napa County, California",136070,48801,23885,48383,0.3467388973539977,35.864628500036744,17.553465128242816
"Nevada County, California",102452,10723,19768,40891,0.2610721945448061,10.466364736657166,19.294889314020224
"Orange County, California",3164063,1080480,601466,47020,8.062789121618152,34.1484983073978,19.009292798531508
"Placer County, California",412435,63412,80818,54158,1.0509830023531714,15.375028792415774,19.595330173239418
"Plumas County, California",19607,1965,2031,40572,0.049963324468434135,10.02193094303055,10.358545417452952
"Riverside County, California",2449909,1239702,259990,38333,6.242953959562248,50.601961134066606,10.612230903270286
"Sacramento County, California",1584047,379734,232818,42947,4.036530536759814,23.972394758488857,14.697669955500059
"San Benito County, California",66056,40783,7009,45121,0.16832648345421966,61.740038754995766,10.610693956642848
"San Bernardino County, California",2187816,1193691,207111,36520,5.5750783233147185,54.56084972410843,9.46656391579548
"San Diego County, California",3282782,1127221,580152,46038,8.365313521963337,34.33736995024342,17.672571617609698
"San Francisco County, California",836321,133266,234704,70100,2.131145890894339,15.934790588781103,28.06386542966158
"San Joaquin County, California",787416,332543,73689,39288,2.006524256624498,42.23218730632855,9.358331555365906
"San Luis Obispo County, California",281486,68980,46166,41418,0.7172936375438186,24.505659251259388,16.40081567111686
"San Mateo County, California",745100,185378,158423,64647,1.8986929699306507,24.879613474701383,21.261978257951952
"Santa Barbara County, California",443975,211412,60231,39151,1.1313544642664886,47.61799650881243,13.56630440903204
"Santa Clara County, California",1903297,477632,376766,63870,4.850055876513351,25.09497992168327,19.795439177385347
"Santa Cruz County, California",266021,93116,45391,44998,0.6778851195194225,35.003251622992174,17.062938640182544
"Shasta County, California",181554,20604,20528,36097,0.46264300558688687,11.34868964605572,11.30682882227877
"Sierra County, California",2731,262,325,33373,0.006959241042652808,9.593555474185282,11.90040278286342
"Siskiyou County, California",43834,5757,5070,31643,0.11169951368130472,13.13364055299539,11.566364009672856
"Solano County, California",450824,130628,60797,45534,1.1488073540142474,28.975387290827463,13.485750536794846
"Sonoma County, California",485642,142986,83196,49118,1.2375319437700458,29.442675880586933,17.131137751677162
"Stanislaus County, California",552250,271787,46297,36664,1.4072650552197048,49.21448619284744,8.383340878225441
"Sutter County, California",98971,32061,8877,34609,0.25220177416052403,32.3943377352962,8.969294035626598
"Tehama County, California",65520,18458,5952,33488,0.16696062728473526,28.171550671550673,9.084249084249084
"Trinity County, California",15886,936,1164,30948,0.040481326694830656,5.8919803600654665,7.3272063452096194
"Tulare County, California",475774,314250,28892,31664,1.2123859201124487,66.05026756401149,6.072631123180334
"Tuolumne County, California",54873,7250,6706,38297,0.1398295253509658,13.212326645162467,12.220946549304758
"Ventura County, California",838259,367516,128351,43314,2.1360843783131087,43.842774130668445,15.311616099558728
"Yolo County, California",217782,72347,29769,41012,0.5549606125049483,33.21991716487129,13.66917376091688
"Yuba County, California",83079,24887,6282,35424,0.21170515803096032,29.955825178444613,7.561477629725924
